file_name,avg_score,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8
sys02a43-uttf7c4792.wav,2.75,1,2,2,3,3,3,4,4
sys02a43-uttf9398a4.wav,2.5,1,2,2,2,2,3,4,4
sys02a43-uttfb0a235.wav,2.125,1,1,1,2,3,3,3,3
sys05205-utt0afb2ca.wav,2.5,2,2,2,2,3,3,3,3
sys05205-utt0c82cbf.wav,3.0,2,2,3,3,3,3,4,4
sys05205-utt1f887a0.wav,2.875,2,2,3,3,3,3,3,4
sys05205-utt28e0225.wav,2.875,2,2,2,3,3,3,4,4
sys05205-utt2d5a613.wav,2.375,1,2,2,2,3,3,3,3
sys05205-utt42b753d.wav,2.5,2,2,2,2,3,3,3,3
sys05205-utt43aca9c.wav,3.0,2,2,2,3,3,3,4,5
sys05205-utt5173036.wav,2.625,2,2,2,3,3,3,3,3
sys05205-utt5e5786b.wav,3.125,2,2,3,3,3,4,4,4
sys05205-utt6198e36.wav,2.375,1,1,2,2,3,3,3,4
sys05205-utt61fd125.wav,2.375,2,2,2,2,2,3,3,3
sys05205-utt6f03574.wav,3.375,3,3,3,3,3,4,4,4
sys05205-utt7d0eba3.wav,1.875,1,1,1,2,2,2,3,3
sys05205-utt84e0445.wav,2.75,2,2,2,3,3,3,3,4
sys05205-utt88cf054.wav,3.375,2,2,2,3,4,4,5,5
sys05205-utt8b1b749.wav,1.875,1,1,1,1,2,3,3,3
sys05205-utt8b7d1a7.wav,3.0,2,2,3,3,3,3,4,4
sys05205-utt8b7d91b.wav,1.75,1,1,1,1,2,2,3,3
sys05205-utt909091b.wav,2.25,1,1,2,2,2,3,3,4
sys05205-utt99f6b69.wav,3.375,2,3,3,3,3,4,4,5
sys05205-utt9d56117.wav,2.875,1,2,2,2,3,4,4,5
sys05205-utta21631b.wav,2.125,1,2,2,2,2,2,2,4
sys05205-utta5d78e3.wav,3.125,2,3,3,3,3,3,4,4
sys05205-uttb67c318.wav,2.25,1,1,2,2,3,3,3,3
sys05205-uttbc9eb0f.wav,3.5,3,3,3,3,4,4,4,4
sys05205-uttcbe80f9.wav,3.5,2,3,3,3,4,4,4,5
sys05205-uttcc80c58.wav,2.625,2,2,2,2,3,3,3,4
sys05205-uttce90fd8.wav,2.25,2,2,2,2,2,2,3,3
sys05205-utte15b8a0.wav,2.25,1,2,2,2,2,3,3,3
sys05205-utte591ca9.wav,2.625,1,2,2,3,3,3,3,4
sys05205-utte5c7508.wav,1.875,1,1,2,2,2,2,2,3
sys05205-utte96a957.wav,3.125,1,2,3,3,3,4,4,5
sys0b2c1-utt0b99faf.wav,3.5,2,2,3,3,4,4,5,5
sys0b2c1-utt0d3f579.wav,3.375,1,3,3,3,3,4,5,5
sys0b2c1-utt11526a9.wav,3.5,3,3,3,3,3,3,5,5
sys0b2c1-utt1741aa5.wav,3.625,3,3,3,3,4,4,4,5
sys0b2c1-utt1aba0ad.wav,3.75,2,4,4,4,4,4,4,4
sys0b2c1-utt1e557dd.wav,2.75,2,2,2,2,3,3,4,4
sys0b2c1-utt20926bd.wav,3.75,3,3,3,3,4,4,5,5
sys0b2c1-utt311133a.wav,3.0,2,3,3,3,3,3,3,4
sys0b2c1-utt31254c1.wav,3.5,2,3,3,3,3,4,5,5
sys0b2c1-utt373b8e2.wav,2.75,1,2,3,3,3,3,3,4
sys0b2c1-utt39bbc6e.wav,3.375,3,3,3,3,3,3,4,5
sys0b2c1-utt3d2a04f.wav,2.75,1,2,2,3,3,3,4,4
sys0b2c1-utt4228e58.wav,2.875,2,2,2,3,3,3,4,4
sys0b2c1-utt425a19e.wav,3.875,2,3,4,4,4,4,5,5
sys0b2c1-utt5c2e729.wav,3.625,2,3,3,4,4,4,4,5
sys0b2c1-utt816c5b4.wav,2.75,2,2,2,3,3,3,3,4
sys0b2c1-utt95166b6.wav,3.0,2,2,3,3,3,3,4,4
sys0b2c1-utt97147a0.wav,2.625,1,2,2,2,3,3,4,4
sys0b2c1-utt9be8593.wav,3.375,2,3,3,3,4,4,4,4
sys0b2c1-uttb10dc4f.wav,2.625,1,2,2,2,3,3,4,4
sys0b2c1-uttb2bcf9e.wav,3.375,2,3,3,3,3,4,4,5
sys0b2c1-uttbb1806a.wav,3.5,2,3,3,3,4,4,4,5
sys0b2c1-uttbfff47f.wav,3.375,2,2,3,4,4,4,4,4
sys0b2c1-uttce4eba4.wav,3.375,3,3,3,3,3,4,4,4
sys0b2c1-uttd8d5e7d.wav,3.0,1,2,3,3,3,4,4,4
sys0b2c1-uttdcd9279.wav,4.5,3,4,4,5,5,5,5,5
sys0b2c1-uttdd3d452.wav,2.75,1,2,2,2,3,4,4,4
sys0b2c1-utte3c6fff.wav,3.375,2,3,3,3,4,4,4,4
sys0b2c1-uttf26de95.wav,3.375,3,3,3,3,3,4,4,4
sys0b2c1-uttf3170b9.wav,3.75,1,3,4,4,4,4,5,5
sys0b2c1-uttf7cb1b9.wav,2.125,1,2,2,2,2,2,3,3
sys0ce8e-utt04209dd.wav,4.375,4,4,4,4,4,5,5,5
sys0ce8e-utt197611e.wav,4.375,3,4,4,4,5,5,5,5
sys0ce8e-utt26aca88.wav,3.875,3,3,3,4,4,4,5,5
sys0ce8e-utt28f94fb.wav,4.375,3,4,4,4,5,5,5,5
sys0ce8e-utt336f9a6.wav,3.25,2,3,3,3,3,4,4,4
sys0ce8e-utt356fd2a.wav,4.375,4,4,4,4,4,5,5,5
sys0ce8e-utt3873174.wav,3.75,3,3,3,4,4,4,4,5
sys0ce8e-utt40228a3.wav,4.375,4,4,4,4,4,5,5,5
sys0ce8e-utt4e20722.wav,3.625,3,3,3,3,4,4,4,5
sys0ce8e-utt4e84f8a.wav,3.25,2,3,3,3,3,4,4,4
sys0ce8e-utt5136cfc.wav,4.0,3,3,4,4,4,4,5,5
sys0ce8e-utt55de657.wav,3.75,2,3,3,4,4,4,5,5
sys0ce8e-utt5605b4b.wav,3.125,2,3,3,3,3,3,4,4
sys0ce8e-utt65490cd.wav,4.25,1,4,4,5,5,5,5,5
sys0ce8e-utt6a77a71.wav,4.5,4,4,4,4,5,5,5,5
sys0ce8e-utt74312a7.wav,3.625,2,3,3,4,4,4,4,5
sys0ce8e-utt78588ff.wav,3.625,2,3,3,4,4,4,4,5
sys0ce8e-utt838ca33.wav,4.0,3,3,3,4,4,5,5,5
sys0ce8e-utt8b590ac.wav,4.375,3,4,4,4,5,5,5,5
sys0ce8e-utt919cbaf.wav,4.875,4,5,5,5,5,5,5,5
sys0ce8e-utt93510f6.wav,4.0,3,4,4,4,4,4,4,5
sys0ce8e-utt93d0e8d.wav,3.75,2,3,4,4,4,4,4,5
sys0ce8e-utt94f2323.wav,4.125,3,4,4,4,4,4,5,5
sys0ce8e-uttb7ec03e.wav,3.75,3,3,3,4,4,4,4,5
sys0ce8e-uttb8e24ac.wav,3.25,2,2,3,3,3,4,4,5
sys0ce8e-uttb9d5914.wav,4.375,4,4,4,4,4,5,5,5
sys0ce8e-uttba1ad89.wav,4.375,3,4,4,4,5,5,5,5
sys0ce8e-uttcf9078f.wav,4.0,3,3,4,4,4,4,5,5
sys0ce8e-utte3ea8a0.wav,4.125,3,4,4,4,4,4,5,5
sys0ce8e-utte886544.wav,3.5,3,3,3,3,4,4,4,4
sys0ce8e-uttecc9a8a.wav,4.375,4,4,4,4,4,5,5,5
sys0ce8e-uttf3aec05.wav,4.375,3,3,4,5,5,5,5,5
sys0ce8e-uttf45ba12.wav,3.75,3,3,3,3,4,4,5,5
sys0ce8e-uttff4c691.wav,4.125,2,3,4,4,5,5,5,5
sys0eb39-utt0377d81.wav,3.375,2,3,3,3,4,4,4,4
sys0eb39-utt0c6fda7.wav,3.5,2,2,3,3,3,5,5,5
sys0eb39-utt2a78891.wav,3.5,2,3,3,3,3,4,5,5
sys0eb39-utt307ee71.wav,3.125,1,2,3,3,3,4,4,5
sys0eb39-utt45dc367.wav,4.0,2,4,4,4,4,4,5,5
sys0eb39-utt4745b38.wav,3.375,2,3,3,3,4,4,4,4
sys0eb39-utt4870f4a.wav,4.125,3,3,3,4,5,5,5,5
sys0eb39-utt54e1766.wav,1.375,1,1,1,1,1,1,2,3
sys0eb39-utt6878670.wav,3.25,2,2,3,3,3,4,4,5
sys0eb39-utt851f02c.wav,1.875,1,1,2,2,2,2,2,3
sys0eb39-utt870fa57.wav,3.25,2,2,3,3,4,4,4,4
sys0eb39-utt8bc7683.wav,2.875,1,2,2,3,3,3,4,5
sys0eb39-utt8cef2f2.wav,3.125,2,2,2,3,3,4,4,5
sys0eb39-utt909988c.wav,2.5,1,1,2,2,2,3,4,5
sys0eb39-utt940f256.wav,3.25,2,2,3,3,4,4,4,4
sys0eb39-uttad9a07c.wav,3.125,2,2,2,2,3,4,5,5
sys0eb39-uttaed8b45.wav,3.125,2,2,2,2,3,4,5,5
sys0eb39-uttc112d42.wav,3.125,2,3,3,3,3,3,4,4
sys0eb39-uttc24c69f.wav,3.875,3,3,3,4,4,4,5,5
sys0eb39-uttc2d460e.wav,2.0,1,1,2,2,2,2,3,3
sys0eb39-uttcc9b927.wav,3.125,2,2,3,3,3,4,4,4
sys0eb39-uttd10bd32.wav,2.75,2,2,2,3,3,3,3,4
sys0eb39-uttd2732c6.wav,4.0,2,3,4,4,4,5,5,5
sys0eb39-uttd4a094b.wav,4.125,3,4,4,4,4,4,5,5
sys0eb39-uttd59af27.wav,4.375,4,4,4,4,4,5,5,5
sys0eb39-uttdfad631.wav,3.0,1,2,3,3,3,3,4,5
sys0fb10-utt05752ce.wav,3.625,3,3,3,4,4,4,4,4
sys0fb10-utt0c12773.wav,3.75,2,3,3,4,4,4,5,5
sys0fb10-utt0e389bf.wav,3.875,2,3,4,4,4,4,5,5
sys0fb10-utt0ff1476.wav,4.125,3,4,4,4,4,4,5,5
sys0fb10-utt1a5c6a7.wav,4.25,3,4,4,4,4,5,5,5
sys0fb10-utt2ba8509.wav,4.25,2,3,4,5,5,5,5,5
sys0fb10-utt2ed93d4.wav,4.25,3,4,4,4,4,5,5,5
sys0fb10-utt332b662.wav,3.625,2,3,3,3,4,4,5,5
sys0fb10-utt3cc2088.wav,3.5,2,3,3,3,4,4,4,5
sys0fb10-utt4d41016.wav,3.25,2,3,3,3,3,3,4,5
sys0fb10-utt5256026.wav,4.375,3,4,4,4,5,5,5,5
sys0fb10-utt54f9319.wav,4.125,3,3,3,4,5,5,5,5
sys0fb10-utt5c53a77.wav,3.625,3,3,3,3,4,4,4,5
sys0fb10-utt73c1911.wav,3.875,3,3,3,3,4,5,5,5
sys0fb10-utt7fb5898.wav,4.375,3,4,4,4,5,5,5,5
sys0fb10-utt820c89c.wav,4.75,4,4,5,5,5,5,5,5
sys0fb10-utt86b6f26.wav,3.25,2,3,3,3,3,4,4,4
sys0fb10-utt8e76d34.wav,4.625,4,4,4,5,5,5,5,5
sys0fb10-utt92c235c.wav,4.5,3,4,4,5,5,5,5,5
sys0fb10-utt93e2602.wav,3.875,2,3,4,4,4,4,5,5
sys0fb10-uttb1ea9b2.wav,4.25,3,4,4,4,4,5,5,5
sys0fb10-uttb316fe8.wav,3.875,2,3,4,4,4,4,5,5
sys0fb10-uttb574eb6.wav,4.5,4,4,4,4,5,5,5,5
sys0fb10-uttb8418fd.wav,3.75,2,3,3,3,4,5,5,5
sys0fb10-uttbe855a1.wav,3.875,3,3,3,4,4,4,5,5
sys0fb10-uttbed2918.wav,3.125,2,3,3,3,3,3,4,4
sys0fb10-uttc9ad2f0.wav,4.0,3,4,4,4,4,4,4,5
sys0fb10-uttd1445eb.wav,3.125,2,3,3,3,3,3,4,4
sys0fb10-uttde176fb.wav,3.875,3,3,3,3,4,5,5,5
sys0fb10-utte624b95.wav,4.0,3,3,4,4,4,4,5,5
sys0fb10-uttf693d8d.wav,4.375,3,4,4,4,5,5,5,5
sys0fb10-uttfe02631.wav,4.125,3,3,3,4,5,5,5,5
sys19236-utt1327b71.wav,1.375,1,1,1,1,1,2,2,2
sys19236-utt14c5967.wav,1.375,1,1,1,1,1,2,2,2
sys19236-utt15a5fde.wav,1.75,1,1,1,2,2,2,2,3
sys19236-utt17de5fb.wav,1.125,1,1,1,1,1,1,1,2
sys19236-utt2806385.wav,1.75,1,1,2,2,2,2,2,2
sys19236-utt2913e01.wav,3.0,2,3,3,3,3,3,3,4
sys19236-utt2c2c14b.wav,1.125,1,1,1,1,1,1,1,2
sys19236-utt2cf857a.wav,2.0,1,2,2,2,2,2,2,3
sys19236-utt33c24cc.wav,2.375,2,2,2,2,2,3,3,3
sys19236-utt386bf47.wav,2.5,1,2,2,2,3,3,3,4
sys19236-utt392f3ba.wav,2.625,1,2,2,3,3,3,3,4
sys19236-utt399282f.wav,1.625,1,1,1,1,2,2,2,3
sys19236-utt406868f.wav,1.5,1,1,1,1,2,2,2,2
sys19236-utt49bcd9e.wav,2.25,1,2,2,2,2,3,3,3
sys19236-utt528553e.wav,2.0,1,1,1,2,2,3,3,3
sys19236-utt6774a56.wav,2.25,1,1,2,2,3,3,3,3
sys19236-utt6fd07a7.wav,1.625,1,1,1,1,1,2,2,4
sys19236-utt7a18ec1.wav,2.0,1,2,2,2,2,2,2,3
sys19236-utt81f1ee4.wav,2.375,1,2,2,2,3,3,3,3
sys19236-utt81f97ac.wav,2.0,1,1,2,2,2,2,2,4
sys19236-utt8afc856.wav,1.875,1,1,2,2,2,2,2,3
sys19236-utta2ab96d.wav,2.5,1,1,2,2,3,3,4,4
sys19236-utta790282.wav,1.625,1,1,1,2,2,2,2,2
sys19236-uttb03f634.wav,3.0,2,2,3,3,3,3,4,4
sys19236-uttb64c057.wav,2.5,2,2,2,2,2,3,3,4
sys19236-uttbf13a0e.wav,2.625,2,2,2,2,3,3,3,4
sys19236-uttc22d6bc.wav,2.5,1,2,2,2,2,3,4,4
sys19236-uttc3a8258.wav,2.625,2,2,2,3,3,3,3,3
sys19236-uttcb23731.wav,2.5,1,1,1,3,3,3,4,4
sys19236-uttdb7a4f4.wav,2.25,1,2,2,2,2,3,3,3
sys19236-utte7f5952.wav,2.375,2,2,2,2,2,3,3,3
sys19236-uttfaf4b05.wav,2.625,1,2,2,2,3,3,4,4
sys1e139-utt0223673.wav,1.875,1,1,1,2,2,2,2,4
sys1e139-utt09b871e.wav,2.875,2,2,2,2,3,3,4,5
sys1e139-utt0c4f7c7.wav,2.125,1,2,2,2,2,2,3,3
sys1e139-utt1aacb0f.wav,2.5,1,2,2,2,3,3,3,4
sys1e139-utt24e6ec7.wav,2.375,1,2,2,2,3,3,3,3
sys1e139-utt2cd5282.wav,1.75,1,1,1,1,2,2,3,3
sys1e139-utt3bfa545.wav,1.25,1,1,1,1,1,1,2,2
sys1e139-utt3f786b1.wav,1.625,1,1,1,2,2,2,2,2
sys1e139-utt430c8e7.wav,2.0,1,1,1,2,2,2,3,4
sys1e139-utt5053482.wav,1.75,1,1,2,2,2,2,2,2
sys1e139-utt53d1dd6.wav,1.25,1,1,1,1,1,1,1,3
sys1e139-utt546ba2a.wav,1.875,1,1,1,2,2,2,3,3
sys1e139-utt6461b77.wav,1.25,1,1,1,1,1,1,2,2
sys1e139-utt65700cb.wav,2.25,1,2,2,2,2,3,3,3
sys1e139-utt76d22a3.wav,2.125,1,1,2,2,2,2,3,4
sys1e139-utt7c1d6f6.wav,2.375,1,1,2,2,2,3,4,4
sys1e139-utt8196c66.wav,2.125,1,1,1,2,2,2,3,5
sys1e139-utt83d6a97.wav,1.875,1,1,2,2,2,2,2,3
sys1e139-utt89ead10.wav,1.5,1,1,1,1,1,1,2,4
sys1e139-utt8eb4e23.wav,2.0,1,1,2,2,2,2,3,3
sys1e139-utt9210eda.wav,1.75,1,1,2,2,2,2,2,2
sys1e139-utt92d147b.wav,2.125,2,2,2,2,2,2,2,3
sys1e139-utt9ad9c3f.wav,2.375,2,2,2,2,2,3,3,3
sys1e139-uttac5e82f.wav,1.625,1,1,1,1,1,2,2,4
sys1e139-uttb86f50a.wav,2.75,1,2,2,3,3,3,4,4
sys1e139-uttcaacbe4.wav,1.875,1,1,1,2,2,2,2,4
sys1e139-uttd5cd94c.wav,2.0,1,1,2,2,2,2,3,3
sys1e139-utte063bf9.wav,2.375,2,2,2,2,2,3,3,3
sys1e139-utte78141f.wav,1.75,1,1,1,2,2,2,2,3
sys1e139-utte8b03a9.wav,2.0,1,1,2,2,2,2,3,3
sys1e139-utteea45ac.wav,2.0,1,1,2,2,2,2,2,4
sys1e139-uttf95ae75.wav,2.125,1,2,2,2,2,2,2,4
sys1e139-uttfba7eb8.wav,2.75,1,2,2,3,3,3,4,4
sys20bf9-utt0c1ae58.wav,2.0,1,2,2,2,2,2,2,3
sys20bf9-utt119dd88.wav,3.5,2,3,3,3,4,4,4,5
sys20bf9-utt16f9213.wav,1.75,1,1,1,2,2,2,2,3
sys20bf9-utt180e253.wav,2.625,1,2,2,2,3,3,3,5
sys20bf9-utt25a7807.wav,3.25,2,2,3,3,3,4,4,5
sys20bf9-utt2a1f169.wav,2.75,2,2,2,3,3,3,3,4
sys20bf9-utt40507f5.wav,2.125,1,1,2,2,2,2,3,4
sys20bf9-utt47a6212.wav,2.75,2,2,3,3,3,3,3,3
sys20bf9-utt4b316dd.wav,2.125,1,2,2,2,2,2,2,4
sys20bf9-utt5877aa0.wav,2.625,1,2,2,3,3,3,3,4
sys20bf9-utt664e44b.wav,2.625,1,1,3,3,3,3,3,4
sys20bf9-utt74cf887.wav,2.75,2,2,3,3,3,3,3,3
sys20bf9-utt79b8945.wav,1.875,1,1,2,2,2,2,2,3
sys20bf9-utt7bc1667.wav,2.625,2,2,2,3,3,3,3,3
sys20bf9-utt85964d7.wav,2.5,2,2,2,2,2,3,3,4
sys20bf9-utt93e17a1.wav,2.125,1,2,2,2,2,2,3,3
sys20bf9-utt9601e00.wav,1.75,1,1,1,2,2,2,2,3
sys20bf9-utt962b374.wav,2.625,2,2,2,2,3,3,3,4
sys20bf9-utt96483c6.wav,1.75,1,1,1,2,2,2,2,3
sys20bf9-uttb78334b.wav,2.375,1,2,2,2,3,3,3,3
sys20bf9-uttbb9c10d.wav,2.625,2,2,2,2,3,3,3,4
sys20bf9-uttc3e6e9d.wav,2.25,1,1,2,2,2,3,3,4
sys20bf9-uttc69e8b1.wav,3.75,1,3,4,4,4,4,5,5
sys20bf9-uttc973da8.wav,2.875,1,3,3,3,3,3,3,4
sys20bf9-uttd2946ad.wav,2.625,1,1,2,2,3,3,4,5
sys20bf9-uttd591db3.wav,2.375,2,2,2,2,2,2,3,4
sys20bf9-uttd7f75d6.wav,2.25,2,2,2,2,2,2,2,4
sys20bf9-uttdb10468.wav,3.5,3,3,3,3,3,4,4,5
sys20bf9-uttddd334f.wav,2.75,1,2,2,3,3,3,4,4
sys20bf9-utte69552e.wav,2.5,1,2,2,2,3,3,3,4
sys20bf9-utted083eb.wav,1.625,1,1,1,1,2,2,2,3
sys20bf9-utteeaae9e.wav,2.625,1,1,2,3,3,3,3,5
sys20bf9-uttf88df6a.wav,2.125,2,2,2,2,2,2,2,3
sys20bf9-uttf8d145c.wav,2.625,1,2,2,3,3,3,3,4
sys25816-utt0527449.wav,2.5,2,2,2,2,2,3,3,4
sys25816-utt113aa16.wav,1.75,1,1,2,2,2,2,2,2
sys25816-utt2affd2d.wav,2.875,2,2,3,3,3,3,3,4
sys25816-utt319f831.wav,2.375,2,2,2,2,2,3,3,3
sys25816-utt33c9b2d.wav,3.0,2,2,2,3,3,3,4,5
sys25816-utt33f9e56.wav,2.875,2,2,3,3,3,3,3,4
sys25816-utt340d8a4.wav,1.75,1,1,1,1,2,2,3,3
sys25816-utt3c426e2.wav,2.0,2,2,2,2,2,2,2,2
sys25816-utt40f6662.wav,2.75,1,2,2,2,3,3,4,5
sys25816-utt589af76.wav,2.75,2,2,2,2,3,3,4,4
sys25816-utt5be2d41.wav,2.25,1,1,2,2,3,3,3,3
sys25816-utt6208f57.wav,2.0,1,1,2,2,2,2,3,3
sys25816-utt65744ab.wav,1.625,1,1,1,1,1,2,3,3
sys25816-utt6f77dde.wav,3.0,2,2,2,3,3,4,4,4
sys25816-utt7a1d651.wav,2.375,1,2,2,2,2,2,3,5
sys25816-utt89383c7.wav,2.375,1,2,2,2,2,3,3,4
sys25816-utt8a255f6.wav,2.625,2,2,2,2,3,3,3,4
sys25816-utt8c9ab55.wav,2.0,1,1,2,2,2,2,3,3
sys25816-utt8f24409.wav,2.75,1,2,2,2,3,3,4,5
sys25816-utt92e0405.wav,2.25,1,2,2,2,2,3,3,3
sys25816-utt9748dcf.wav,2.875,2,2,3,3,3,3,3,4
sys25816-utt99144f2.wav,2.625,2,2,2,3,3,3,3,3
sys25816-utt9d8c82e.wav,2.625,2,2,2,2,3,3,3,4
sys25816-utta35d1b7.wav,1.5,1,1,1,1,1,2,2,3
sys25816-uttb4e22db.wav,3.0,2,3,3,3,3,3,3,4
sys25816-uttbf5849a.wav,3.375,3,3,3,3,3,4,4,4
sys25816-uttc03cfbb.wav,2.125,1,1,1,2,3,3,3,3
sys25816-uttc34a686.wav,3.125,2,2,3,3,3,4,4,4
sys25816-uttcbb7ebd.wav,2.0,1,1,1,2,2,3,3,3
sys25816-uttd27f4bf.wav,2.0,1,2,2,2,2,2,2,3
sys25816-uttda9456f.wav,2.375,2,2,2,2,2,3,3,3
sys25816-uttf1e9cd6.wav,2.5,2,2,2,2,3,3,3,3
sys2863f-utt063fcd8.wav,1.25,1,1,1,1,1,1,2,2
sys2863f-utt123ee3b.wav,1.0,1,1,1,1,1,1,1,1
sys2863f-utt1467c3a.wav,1.625,1,1,1,1,1,2,3,3
sys2863f-utt1902cba.wav,1.875,1,1,1,2,2,2,3,3
sys2863f-utt19d2e78.wav,1.125,1,1,1,1,1,1,1,2
sys2863f-utt2ab81b0.wav,1.5,1,1,1,1,1,2,2,3
sys2863f-utt2c1b365.wav,1.25,1,1,1,1,1,1,2,2
sys2863f-utt3c7c0e9.wav,1.0,1,1,1,1,1,1,1,1
sys2863f-utt4fe01d1.wav,1.375,1,1,1,1,1,2,2,2
sys2863f-utt53d0b31.wav,1.375,1,1,1,1,1,1,2,3
sys2863f-utt549bbc6.wav,1.125,1,1,1,1,1,1,1,2
sys2863f-utt59ee596.wav,1.375,1,1,1,1,1,2,2,2
sys2863f-utt5e2a7d4.wav,1.125,1,1,1,1,1,1,1,2
sys2863f-utt63f59a1.wav,1.5,1,1,1,1,1,1,3,3
sys2863f-utt6b5a26d.wav,1.25,1,1,1,1,1,1,2,2
sys2863f-utt6b79e6f.wav,1.625,1,1,1,1,1,1,3,4
sys2863f-utt6f95837.wav,1.375,1,1,1,1,1,1,2,3
sys2863f-utt8f22b36.wav,1.375,1,1,1,1,1,1,2,3
sys2863f-utt937d22f.wav,1.375,1,1,1,1,1,1,2,3
sys2863f-utt93eb39f.wav,1.375,1,1,1,1,1,2,2,2
sys2863f-utta597b1c.wav,1.5,1,1,1,1,1,1,2,4
sys2863f-uttad8c473.wav,1.625,1,1,1,1,2,2,2,3
sys2863f-uttb02a99c.wav,1.25,1,1,1,1,1,1,1,3
sys2863f-uttba81996.wav,1.25,1,1,1,1,1,1,2,2
sys2863f-uttbba5c95.wav,1.125,1,1,1,1,1,1,1,2
sys2863f-uttbdf315d.wav,1.625,1,1,1,1,2,2,2,3
sys2863f-uttc999715.wav,1.0,1,1,1,1,1,1,1,1
sys2863f-uttd0b333d.wav,1.625,1,1,1,1,1,2,2,4
sys2863f-uttd1b3a27.wav,1.25,1,1,1,1,1,1,2,2
sys2863f-uttd8f5761.wav,1.5,1,1,1,1,1,2,2,3
sys2863f-uttddc5727.wav,1.5,1,1,1,1,1,2,2,3
sys2863f-uttf25f048.wav,1.375,1,1,1,1,1,2,2,2
sys2863f-uttfd2b488.wav,1.25,1,1,1,1,1,1,2,2
sys29328-utt03e6bc0.wav,2.625,2,2,2,2,2,3,3,5
sys29328-utt04063c4.wav,1.375,1,1,1,1,1,1,2,3
sys29328-utt176980d.wav,2.625,2,2,2,2,3,3,3,4
sys29328-utt21940e3.wav,1.75,1,1,1,2,2,2,2,3
sys29328-utt270a116.wav,1.75,1,1,2,2,2,2,2,2
sys29328-utt3a6b10f.wav,1.375,1,1,1,1,1,2,2,2
sys29328-utt5a62ef1.wav,2.0,1,1,1,2,2,2,2,5
sys29328-utt70a85fa.wav,1.75,1,1,1,2,2,2,2,3
sys29328-utt7e84c92.wav,2.625,2,2,2,3,3,3,3,3
sys29328-utt8034d53.wav,2.25,1,1,1,2,3,3,3,4
sys29328-utt82c736e.wav,1.5,1,1,1,1,2,2,2,2
sys29328-utta48cfa9.wav,1.375,1,1,1,1,1,2,2,2
sys29328-utta8c36c5.wav,1.625,1,1,1,2,2,2,2,2
sys29328-uttaabaf8f.wav,1.5,1,1,1,1,1,2,2,3
sys29328-uttee98188.wav,2.375,1,1,2,2,3,3,3,4
sys2a001-utt029cf25.wav,3.875,2,3,4,4,4,4,5,5
sys2a001-utt07809ac.wav,4.25,3,4,4,4,4,5,5,5
sys2a001-utt0910324.wav,4.5,3,4,4,5,5,5,5,5
sys2a001-utt0b411d0.wav,4.125,3,4,4,4,4,4,5,5
sys2a001-utt1dc6252.wav,4.25,4,4,4,4,4,4,5,5
sys2a001-utt1f04749.wav,4.25,3,3,4,4,5,5,5,5
sys2a001-utt2708456.wav,3.875,3,3,3,4,4,4,5,5
sys2a001-utt273d5d2.wav,3.75,3,3,3,4,4,4,4,5
sys2a001-utt34e71ae.wav,4.125,3,3,4,4,4,5,5,5
sys2a001-utt4b7b743.wav,4.0,1,3,4,4,5,5,5,5
sys2a001-utt4feda8b.wav,4.0,3,3,3,4,4,5,5,5
sys2a001-utt5811906.wav,3.5,3,3,3,3,4,4,4,4
sys2a001-utt60408b9.wav,3.75,2,2,3,4,4,5,5,5
