file_name,label,sigma
0104.png,27.088217,2.56
0105.png,35.36133,1.94
0106.png,17.12728,2.88
0107.png,67.7067,2.38
0108.png,44.962566,4.0
0109.png,37.1875,2.83
0110.png,89.98047,2.25
0111.png,55.03418,1.69
0112.png,50.93913,0.67
0113.png,52.958984,3.59
0114.png,27.807617,1.15
0115.png,63.224285,3.03
0116.png,54.64681,1.35
0117.png,74.541016,2.0
0118.png,42.389324,1.47
0119.png,29.827475,1.18
0120.png,60.844727,1.37
0121.png,52.73763,1.76
0122.png,30.021158,0.2
0123.png,48.08919,1.01
0124.png,19.894205,1.7
0125.png,28.001303,0.01
0126.png,59.378254,2.07
0127.png,94.2692,0.39
0128.png,24.210611,2.34
0129.png,70.833336,2.04
0130.png,76.69922,2.23
0131.png,89.620766,1.93
0132.png,20.945639,2.28
0133.png,70.30762,0.6
0134.png,28.610025,3.06
0135.png,76.47787,2.33
0136.png,54.5638,2.04
0137.png,93.74349,1.16
0138.png,63.00293,0.33
0139.png,38.875324,1.13
0140.png,40.812176,0.82
0141.png,69.14551,0.85
0142.png,50.08138,1.69
0143.png,59.95931,0.88
0144.png,73.10221,1.44
0145.png,46.954754,0.58
0146.png,42.638348,1.49
0147.png,50.85612,0.43
0148.png,72.46582,2.19
0149.png,68.81348,3.67
0150.png,11.538086,2.07
0151.png,50.85612,0.02
0152.png,17.12728,1.03
0153.png,81.70736,3.46
0154.png,56.94336,2.9
0155.png,31.930338,2.42
0156.png,53.95508,1.8
0157.png,43.357746,2.19
0158.png,24.847006,4.0
0159.png,54.95117,1.32
0160.png,42.83203,0.63
0161.png,44.07715,3.92
0162.png,89.31641,2.52
0163.png,48.808594,2.1
0164.png,52.29492,3.36
0165.png,68.149414,3.79
0166.png,45.598957,1.41
0167.png,84.80631,3.18
0168.png,81.67969,1.44
0169.png,52.239582,2.91
0170.png,17.84668,1.64
0171.png,75.0944,2.67
0172.png,46.899414,1.5
0173.png,66.29557,2.98
0174.png,38.432617,2.45
0175.png,49.085285,2.68
0176.png,18.400064,1.8
0177.png,47.729492,3.32
0178.png,56.19629,1.9
0179.png,51.658527,2.39
0180.png,42.195637,2.43
0181.png,76.975914,1.39
0182.png,51.99056,1.4
0183.png,12.589519,3.22
0184.png,19.866537,1.54
0185.png,62.781574,3.43
0186.png,31.791992,1.75
0187.png,59.101562,2.04
0188.png,52.211914,3.26
0189.png,67.430016,2.67
0190.png,88.79069,1.57
0191.png,84.529625,2.78
0192.png,89.20573,1.51
0193.png,38.76465,1.88
0194.png,56.002605,1.19
0195.png,59.8763,2.48
0196.png,64.91211,1.9
0197.png,60.208332,2.37
0198.png,29.578451,1.43
0199.png,63.113605,2.72
0200.png,14.277344,2.31
0201.png,89.20573,3.93
0202.png,31.570639,3.81
0203.png,38.01758,1.47
0204.png,87.32422,2.94
0205.png,35.721027,1.65
0206.png,45.764973,2.69
0207.png,77.307945,2.49
0208.png,38.986004,1.72
0209.png,39.01367,1.68
0210.png,46.346027,0.98
0211.png,40.369465,0.78
0212.png,57.33073,1.6
0213.png,38.847656,2.24
0214.png,33.39681,3.8
0215.png,73.10221,2.34
0216.png,55.919598,2.21
0217.png,55.283203,0.91
0218.png,32.483723,3.16
0219.png,76.25651,0.63
0220.png,39.262695,1.69
0221.png,63.05827,2.71
0222.png,64.663086,1.97
0223.png,37.353516,1.92
0224.png,89.01205,1.69
0225.png,46.67806,3.49
0226.png,43.219402,2.88
0227.png,47.729492,4.0
0228.png,56.722004,2.58
0229.png,74.956055,2.08
0230.png,69.4222,2.1
0231.png,77.197266,1.64
0232.png,67.291664,3.1
0233.png,78.85742,3.41
0234.png,65.46549,2.5
0235.png,72.35514,4.0
0236.png,26.368814,2.65
0237.png,72.99154,0.87
0238.png,52.239582,2.74
0239.png,47.923176,1.77
0240.png,74.541016,2.38
0241.png,79.106445,0.53
0242.png,59.5166,0.73
0243.png,37.46419,1.3
0244.png,42.22331,1.56
0245.png,34.641926,2.33
0246.png,21.526693,2.02
0247.png,45.54362,1.92
0248.png,82.42676,2.38
0249.png,43.219402,0.76
0250.png,84.97233,1.1
0251.png,68.56445,1.59
0252.png,42.721355,1.39
0253.png,45.709637,2.05
0254.png,92.802734,2.73
0255.png,28.222656,2.76
0256.png,78.6084,2.59
0257.png,34.558918,2.38
0258.png,80.572914,2.68
0259.png,60.76172,3.84
0260.png,24.542643,1.34
0261.png,41.088867,0.83
0262.png,40.784504,2.89
0263.png,63.251953,0.72
0264.png,58.90788,2.06
0265.png,87.57324,1.54
0266.png,30.934244,3.5
0267.png,68.84115,2.3
0268.png,72.38281,3.43
0269.png,83.58887,2.85
0270.png,57.496746,1.82
0271.png,50.08138,1.61
0272.png,75.066734,1.29
0273.png,55.03418,3.01
0274.png,29.96582,1.37
0275.png,62.809246,1.28
0276.png,45.10091,1.47
0277.png,53.235676,1.73
0278.png,63.168945,2.87
0279.png,54.453125,2.63
0280.png,49.66634,3.07
0281.png,12.866211,2.27
0282.png,80.13021,3.63
0283.png,82.5651,2.84
0284.png,66.26791,2.12
0285.png,58.354492,1.52
0286.png,57.884113,2.95
0287.png,38.930664,0.55
0288.png,63.69466,2.91
0289.png,49.72168,2.96
0290.png,64.99512,2.14
0291.png,64.93978,1.38
0292.png,61.702473,1.51
0293.png,60.983074,1.42
0294.png,53.92741,2.41
0295.png,43.99414,1.73
0296.png,32.400715,1.09
0297.png,67.40234,3.1
0298.png,57.801105,2.19
0299.png,43.911133,2.7
0300.png,30.989584,1.72
0301.png,25.81543,2.4
0302.png,79.02344,1.97
0303.png,38.045246,1.23
0304.png,53.81673,0.91
0305.png,34.448242,3.69
0306.png,62.836914,1.07
0307.png,50.358074,1.8
0308.png,48.753254,3.18
0309.png,49.749348,0.46
0310.png,20.08789,2.29
0311.png,33.341473,2.43
0312.png,52.01823,2.7
0313.png,54.425457,1.9
0314.png,22.02474,1.38
0315.png,25.538736,2.59
0316.png,84.944664,0.01
0317.png,33.78418,1.2
0318.png,80.4069,2.49
0319.png,71.552734,3.41
0320.png,23.684896,3.29
0321.png,53.125,1.33
0322.png,63.999023,2.58
0323.png,67.92806,2.67
0324.png,16.961264,0.5
0325.png,64.8291,1.26
0326.png,50.302734,3.23
0327.png,72.90853,2.13
0328.png,33.535156,2.55
0329.png,52.682293,2.89
0330.png,56.05794,3.39
0331.png,48.365887,2.61
0332.png,44.436848,1.93
0333.png,52.986652,1.05
0334.png,62.394207,2.56
0335.png,72.96387,1.2
0336.png,44.07715,1.81
0337.png,31.349283,2.22
0338.png,37.713215,2.02
0339.png,41.36556,1.36
0340.png,38.70931,2.92
0341.png,35.112305,3.57
0342.png,31.183268,2.27
0343.png,33.977863,2.45
0344.png,15.079753,1.0
0345.png,81.15397,2.14
0346.png,15.7161455,3.28
0347.png,40.67383,1.43
0348.png,31.84733,2.9
0349.png,59.073895,0.96
0350.png,40.701496,1.81
0351.png,38.653973,2.24
0352.png,74.375,1.47
0353.png,41.28255,2.67
0354.png,63.639324,0.25
0355.png,59.295246,1.15
0356.png,47.148438,1.71
0357.png,63.916016,1.61
0358.png,50.551758,3.69
0359.png,54.591473,2.57
0360.png,67.67904,2.91
0361.png,35.527344,2.03
0362.png,44.436848,1.88
0363.png,52.84831,1.56
0364.png,43.164062,1.66
0365.png,65.32715,1.86
0366.png,79.521484,2.23
0367.png,73.95996,2.6
0368.png,60.485027,1.23
0369.png,81.67969,2.23
0370.png,57.884113,3.25
0371.png,50.385742,3.13
0372.png,52.10124,2.4
0373.png,64.74609,2.74
0374.png,47.508137,4.0
0375.png,30.768229,0.87
0376.png,47.674152,2.92
0377.png,38.045246,2.67
0378.png,59.682617,2.51
0379.png,83.9209,3.18
0380.png,74.07064,2.97
0381.png,63.05827,2.89
0382.png,69.532875,2.31
0383.png,79.30013,2.21
0384.png,55.144855,1.5
0385.png,64.41406,2.59
0386.png,73.18522,0.35
0387.png,55.476887,0.01
0388.png,56.19629,3.11
0389.png,72.68717,2.14
0390.png,56.638996,2.13
0391.png,23.601889,2.05
0392.png,55.39388,1.99
0393.png,51.49251,1.91
0394.png,45.709637,1.37
0395.png,62.809246,1.36
0396.png,51.60319,1.86
0397.png,53.40169,2.6
0398.png,68.56445,1.05
0399.png,61.730145,0.98
0400.png,62.97526,1.13
0401.png,85.19369,1.15
0402.png,57.247723,2.22
0403.png,24.957682,2.66
0404.png,64.49707,2.4
0405.png,64.27572,2.16
0406.png,48.033855,3.62
0407.png,57.884113,2.45
0408.png,47.286785,1.39
0409.png,23.13151,1.44
0410.png,73.60026,1.67
0411.png,35.776367,1.38
0412.png,50.496418,1.07
0413.png,82.20541,3.16
0414.png,36.938477,0.62
0415.png,54.536133,2.06
0416.png,30.961914,1.93
0417.png,18.012695,2.64
0418.png,29.274088,1.13
0419.png,55.283203,1.11
0420.png,51.132812,1.56
0421.png,80.73893,3.02
0422.png,17.016602,4.0
0423.png,48.255207,2.89
0424.png,52.986652,0.09
0425.png,23.048502,3.76
0426.png,58.05013,2.21
0427.png,56.52832,2.39
0428.png,27.420248,2.16
0429.png,48.255207,2.77
0430.png,18.732096,4.0
0431.png,38.155926,2.61
0432.png,38.847656,2.71
0433.png,52.599285,4.0
0434.png,68.61979,0.4
0435.png,72.10612,2.15
0436.png,34.392902,1.95
0437.png,45.93099,2.8
0438.png,82.70345,3.16
0439.png,48.448895,0.75
0440.png,76.47787,1.03
0441.png,50.52409,0.58
0442.png,34.282227,0.88
0443.png,61.398113,3.51
0444.png,9.850261,1.31
0445.png,46.844074,1.92
0446.png,34.337566,3.51
0447.png,65.714516,2.1
0448.png,34.14388,2.58
0449.png,14.637044,2.06
0450.png,58.76953,0.01
0451.png,19.091797,2.55
0452.png,44.82422,1.63
0453.png,34.06087,3.3
0454.png,45.90332,2.91
0455.png,37.57487,1.75
0456.png,45.95866,2.9
0457.png,44.851887,1.93
0458.png,51.27116,3.79
0459.png,95.29297,1.36
0460.png,28.49935,2.3
0461.png,57.247723,2.69
0462.png,89.17806,1.97
0463.png,55.117188,1.5
0464.png,44.270832,2.37
0465.png,62.61556,1.82
0466.png,32.871094,3.0
0467.png,54.370117,2.23
0468.png,64.52474,1.43
0469.png,56.86035,2.1
0470.png,78.41471,3.37
0471.png,15.245769,2.3
0472.png,66.79362,1.35
0473.png,76.5332,1.51
0474.png,41.891277,2.74
0475.png,40.784504,2.31
0476.png,94.32455,0.93
0477.png,78.49772,3.22
0478.png,67.18099,3.39
0479.png,47.42513,2.06
0480.png,42.749023,0.93
0481.png,27.33724,4.0
0482.png,56.666668,2.45
0483.png,61.315105,4.0
0484.png,35.416668,2.53
0485.png,39.09668,2.38
0486.png,50.911457,2.93
0487.png,21.941732,2.35
0488.png,48.670246,2.2
0489.png,43.025715,1.91
0490.png,24.597982,1.42
0491.png,58.575848,2.05
0492.png,93.32845,1.26
0493.png,73.82162,3.37
0494.png,69.36686,2.19
0495.png,73.904625,0.43
0496.png,75.01139,1.38
0497.png,58.49284,3.76
0498.png,54.895832,2.29
0499.png,69.947914,0.57
0500.png,65.13346,2.7
0501.png,44.74121,0.88
0502.png,63.556316,2.12
0503.png,44.32617,2.26
0504.png,45.43294,1.92
0505.png,67.9834,3.27
0506.png,39.04134,2.25
0507.png,92.55371,1.64
0508.png,74.23666,3.35
0509.png,55.864258,1.97
0510.png,56.030273,2.58
0511.png,39.290363,1.45
0512.png,57.718098,2.34
0513.png,45.045574,2.09
0514.png,51.16048,1.28
0515.png,48.116863,1.48
0516.png,38.487957,3.29
0517.png,55.283203,1.58
0518.png,35.63802,0.83
0519.png,40.729168,2.25
0520.png,62.283527,2.33
0521.png,48.83626,2.39
0522.png,35.27832,2.07
0523.png,58.90788,2.14
0524.png,95.12695,2.02
0525.png,48.753254,0.51
0526.png,67.65137,0.88
0527.png,35.36133,1.85
0528.png,72.13379,2.07
0529.png,51.99056,3.79
0530.png,40.701496,2.04
0531.png,58.575848,0.14
0532.png,72.46582,2.49
0533.png,38.6263,2.11
0534.png,80.268555,4.0
0535.png,55.44922,1.36
0536.png,66.37858,2.65
0537.png,49.69401,3.99
0538.png,57.63509,1.77
0539.png,34.309895,2.16
0540.png,72.07845,2.16
0541.png,46.069336,0.01
0542.png,61.84082,0.34
0543.png,50.219727,1.39
0544.png,34.835613,2.9
0545.png,34.641926,2.89
0546.png,81.81803,1.86
0547.png,35.27832,1.74
0548.png,57.137043,1.77
0549.png,34.392902,1.57
0550.png,53.92741,1.26
0551.png,78.44238,1.44
0552.png,24.32129,3.7
0553.png,13.142903,0.34
0554.png,54.176434,0.54
0555.png,42.83203,3.46
0556.png,21.748047,0.86
0557.png,48.061523,2.82
0558.png,12.6171875,1.58
0559.png,54.397785,1.13
0560.png,36.634113,3.14
0561.png,89.75912,2.61
0562.png,25.677084,1.67
0563.png,51.354168,1.1
0564.png,57.718098,1.76
0565.png,55.698242,3.27
0566.png,89.15039,0.01
0567.png,36.136066,1.81
0568.png,19.396158,2.0
0569.png,61.315105,1.39
0570.png,67.81738,0.98
0571.png,50.911457,0.81
0572.png,78.85742,3.71
0573.png,57.441406,2.77
0574.png,23.297525,1.72
0575.png,42.22331,1.68
0576.png,56.722004,2.72
0577.png,47.314453,1.55
0578.png,80.98795,3.71
0579.png,41.088867,1.99
0580.png,21.526693,1.41
0581.png,44.32617,2.67
0582.png,58.548176,1.11
0583.png,67.51302,3.74
0584.png,87.075195,1.61
0585.png,25.40039,1.59
0586.png,28.08431,3.47
0587.png,28.001303,2.64
0588.png,55.03418,1.05
0589.png,36.16374,1.31
0590.png,40.86751,0.64
0591.png,36.91081,2.49
0592.png,71.16537,0.73
0593.png,69.72656,2.47
0594.png,89.70377,2.32
0595.png,68.39844,2.91
0596.png,55.476887,1.78
0597.png,46.31836,2.04
0598.png,31.764322,0.85
0599.png,84.25293,0.85
0600.png,18.427734,1.59
0601.png,64.635414,2.8
0602.png,58.188477,2.38
0603.png,69.80957,1.02
0604.png,40.31413,0.3
0605.png,27.226562,3.12
0606.png,31.791992,2.26
0607.png,32.26237,1.74
0608.png,70.1416,1.87
0609.png,40.092773,2.8
0610.png,30.629883,3.97
0611.png,34.94629,3.18
0612.png,59.8763,2.61
0613.png,55.31087,2.88
0614.png,37.713215,0.57
0615.png,17.154947,0.27
0616.png,40.17578,2.3
0617.png,66.40625,1.83
0618.png,75.84147,1.36
0619.png,89.70377,2.24
0620.png,68.038734,2.38
0621.png,36.38509,2.33
0622.png,39.45638,1.47
0623.png,62.753906,2.39
0624.png,53.733723,1.76
0625.png,67.04264,1.45
0626.png,68.86881,3.18
0627.png,54.121094,2.39
0628.png,54.591473,0.11
0629.png,62.11751,2.16
0630.png,56.334637,2.94
0631.png,48.255207,2.08
0632.png,67.623695,0.25
0633.png,48.531902,0.54
0634.png,77.11426,1.35
0635.png,42.44466,2.13
0636.png,47.53581,0.01
0637.png,54.480793,1.78
0638.png,79.07877,0.96
0639.png,74.23666,1.13
0640.png,41.310223,2.74
0641.png,58.271484,2.88
0642.png,33.673504,1.85
0643.png,43.219402,2.3
0644.png,65.63151,1.48
0645.png,75.56478,3.22
0646.png,12.672526,1.53
0647.png,50.80078,2.42
0648.png,62.753906,2.41
0649.png,71.19303,2.99
0650.png,58.326824,2.94
0651.png,25.926107,3.49
0652.png,48.14453,1.2
0653.png,58.38216,2.18
0654.png,75.34342,0.78
0655.png,44.07715,0.97
0656.png,39.89909,2.05
0657.png,81.95638,0.36
0658.png,87.185875,1.9
0659.png,60.26367,2.18
0660.png,49.970703,1.24
0661.png,24.736328,0.49
0662.png,42.638348,2.24
0663.png,60.568035,1.83
0664.png,69.975586,1.9
0665.png,43.33008,2.26
0666.png,35.22298,2.05
0667.png,57.27539,2.12
0668.png,41.974285,2.34
0669.png,33.45215,0.01
0670.png,85.41504,2.78
0671.png,45.57129,2.44
0672.png,60.540363,2.96
0673.png,45.21159,0.89
0674.png,28.388672,2.86
0675.png,61.647137,1.38
0676.png,25.179037,1.76
0677.png,42.416992,2.49
0678.png,73.046875,2.92
0679.png,72.35514,3.27
0680.png,53.235676,2.16
0681.png,72.742516,0.3
0682.png,33.064777,2.17
0683.png,43.966473,0.17
0684.png,54.121094,4.0
0685.png,72.189125,0.36
0686.png,29.24642,2.01
0687.png,42.389324,2.02
0688.png,60.512695,1.99
0689.png,29.827475,1.65
0690.png,52.01823,1.29
0691.png,28.361002,1.11
0692.png,53.678387,1.61
0693.png,25.123697,2.63
0694.png,32.068684,1.27
0695.png,36.91081,2.57
0696.png,39.926758,1.42
0697.png,29.135742,1.43
0698.png,58.133137,1.63
0699.png,72.936195,2.66
0700.png,42.278645,1.98
0701.png,58.90788,2.62
0702.png,61.315105,1.07
0703.png,78.19336,2.43
0704.png,29.21875,1.88
0705.png,64.35873,2.99
0706.png,30.574545,2.22
0707.png,43.136395,1.86
0708.png,64.85677,2.79
0709.png,58.85254,1.51
0710.png,57.3584,1.34
0711.png,14.498698,1.71
0712.png,52.37793,0.24
0713.png,51.935223,0.25
0714.png,37.768555,2.48
0715.png,33.42448,1.77
0716.png,48.97461,2.81
0717.png,72.46582,2.67
0718.png,23.49121,3.04
0719.png,28.001303,4.0
0720.png,58.299152,1.13
0721.png,42.11263,3.76
0722.png,76.61621,2.8
0723.png,46.954754,1.81
0724.png,47.895508,1.08
0725.png,46.816406,1.51
0726.png,24.404297,0.64
0727.png,63.722332,3.74
0728.png,34.752605,2.22
0729.png,40.31413,1.86
0730.png,35.27832,4.0
0731.png,43.24707,1.93
0732.png,52.184246,1.44
0733.png,40.839844,1.17
0734.png,39.01367,3.15
0735.png,85.94076,2.84
0736.png,24.431967,1.5
0737.png,36.191406,0.67
0738.png,67.04264,1.61
0739.png,64.27572,1.96
0740.png,9.324544,2.47
0741.png,61.702473,2.35
0742.png,75.813805,3.6
0743.png,62.97526,2.38
0744.png,17.45931,2.54
0745.png,31.017252,0.11
0746.png,69.03483,2.19
0747.png,16.850586,1.78
0748.png,32.871094,2.79
0749.png,30.961914,3.35
0750.png,50.717773,0.73
0751.png,20.945639,2.1
0752.png,56.389973,2.32
0753.png,49.943035,1.56
0754.png,25.234375,2.4
0755.png,65.078125,0.01
0756.png,80.904945,2.26
0757.png,18.842773,2.4
0758.png,20.364584,2.33
0759.png,55.753582,1.75
0760.png,58.02246,2.25
0761.png,72.77018,0.18
0762.png,36.744793,1.15
0763.png,78.55306,1.32
0764.png,84.47428,0.92
0765.png,44.298504,0.98
0766.png,89.288734,1.94
0767.png,38.930664,2.63
0768.png,18.012695,0.51
0769.png,74.26432,1.63
0770.png,55.117188,0.16
0771.png,72.27213,0.64
0772.png,54.010418,2.38
0773.png,44.87956,0.9
0774.png,77.28027,0.28
0775.png,46.069336,2.11
0776.png,75.97982,1.09
0777.png,66.93197,1.15
0778.png,64.71842,2.12
0779.png,23.684896,2.23
0780.png,75.48177,4.0
0781.png,13.751628,3.18
0782.png,78.08268,0.85
0783.png,87.90527,2.96
0784.png,39.733074,4.0
0785.png,24.597982,2.52
0786.png,63.80534,2.7
0787.png,51.852215,3.12
0788.png,50.247395,0.01
0789.png,52.267254,2.66
0790.png,55.642902,0.92
0791.png,62.338867,1.73
0792.png,81.873375,1.22
0793.png,35.00163,2.12
0794.png,34.973957,1.14
0795.png,63.80534,2.2
0796.png,57.33073,1.57
0797.png,51.60319,0.82
0798.png,84.22526,3.23
0799.png,63.777668,0.62
0800.png,18.98112,2.87
0801.png,54.14876,1.28
0802.png,70.97168,1.38
0803.png,60.485027,1.7
0804.png,50.164387,2.82
0805.png,65.9082,1.64
0806.png,22.43978,3.5
0807.png,34.973957,2.61
0808.png,89.427086,1.01
0809.png,71.38672,2.83
0810.png,78.88509,1.78
0811.png,56.25163,1.82
0812.png,31.12793,0.89
0813.png,11.75944,1.93
0814.png,23.546549,1.83
0815.png,55.753582,2.11
0816.png,86.66016,1.15
0817.png,64.93978,2.29
0818.png,55.03418,2.39
0819.png,48.476562,1.93
0820.png,60.512695,2.42
0821.png,57.718098,1.79
0822.png,55.08952,3.22
0823.png,65.79752,2.37
0824.png,42.77669,0.6
0825.png,19.977213,1.54
0826.png,19.506836,2.27
0827.png,49.749348,1.57
0828.png,40.397137,1.56
0829.png,72.99154,1.53
0830.png,56.05794,3.09
0831.png,43.19173,0.81
0832.png,92.88574,0.17
0833.png,67.7067,3.04
0834.png,47.618816,1.76
0835.png,86.328125,0.01
0836.png,54.038086,0.51
0837.png,70.805664,2.52
0838.png,48.725586,3.15
0839.png,89.92513,2.84
0840.png,37.215168,3.25
0841.png,63.583984,1.14
0842.png,75.813805,1.51
0843.png,30.35319,0.84
0844.png,71.85709,2.49
0845.png,59.433594,2.2
0846.png,77.916664,1.23
0847.png,56.223957,2.73
0848.png,56.445312,1.61
0849.png,62.72624,1.03
0850.png,41.36556,3.45
0851.png,29.384766,2.88
0852.png,76.58854,2.91
0853.png,56.86035,3.5
0854.png,46.954754,1.3
0855.png,88.569336,0.43
0856.png,9.794922,0.01
0857.png,14.526367,1.74
0858.png,14.526367,1.79
0859.png,42.22331,3.54
0860.png,55.642902,0.5
0861.png,47.86784,0.79
0862.png,81.23698,0.64
0863.png,29.467773,1.73
0864.png,59.018555,1.84
0865.png,27.586264,0.01
0866.png,57.63509,1.47
0867.png,21.886393,1.19
0868.png,41.33789,1.41
0869.png,51.022137,2.66
0870.png,45.21159,1.01
0871.png,63.3903,2.34
0872.png,14.747722,3.42
0873.png,64.331055,2.7
0874.png,81.126305,3.11
0875.png,86.82617,0.01
0876.png,63.085938,3.27
0877.png,61.730145,2.44
0878.png,32.511395,3.02
0879.png,51.769207,1.95
0880.png,49.832355,2.75
0881.png,42.250977,2.31
0882.png,22.329102,2.26
0883.png,25.013021,2.4
0884.png,53.429363,1.75
0885.png,42.804363,1.63
0886.png,54.23177,0.48
0887.png,19.506836,1.19
0888.png,64.99512,2.26
0889.png,50.275066,0.29
0890.png,73.046875,2.29
0891.png,55.919598,3.15
0892.png,47.840168,2.57
0893.png,71.2207,2.93
0894.png,10.569661,3.24
0895.png,56.80501,0.01
0896.png,61.89616,1.98
0897.png,66.54459,1.69
0898.png,32.815754,0.01
0899.png,42.749023,1.74
0900.png,46.124676,1.95
0901.png,65.02279,1.09
0902.png,36.246746,2.25
0903.png,48.64258,2.04
0904.png,67.9834,0.99
0905.png,84.39127,0.73
0906.png,52.682293,3.26
0907.png,56.52832,1.84
0908.png,33.950195,2.91
0909.png,43.60677,1.21
0910.png,45.128582,2.18
0911.png,16.158854,2.88
0912.png,52.682293,3.4
0913.png,87.73926,0.01
0914.png,62.97526,2.42
0915.png,53.678387,0.84
0916.png,53.18034,2.6
0917.png,33.479816,3.2
0918.png,72.410484,2.17
0919.png,52.543945,2.77
0920.png,56.279297,1.95
0921.png,57.939453,2.15
0922.png,51.381836,1.39
0923.png,64.30338,0.01
0924.png,39.345703,2.14
0925.png,55.061848,1.44
0926.png,20.281576,2.74
0927.png,56.002605,2.47
0928.png,34.80794,1.03
0929.png,84.308266,2.03
0930.png,50.634766,0.81
0931.png,39.594727,1.74
0932.png,64.80143,1.68
0933.png,25.289713,2.56
0934.png,42.195637,0.74
0935.png,82.95248,1.95
0936.png,57.74577,2.58
0937.png,41.891277,2.49
0938.png,20.807291,2.72
0939.png,80.07487,1.05
0940.png,29.578451,0.38
0941.png,86.964516,3.51
0942.png,72.49349,0.01
0943.png,69.69889,1.47
0944.png,42.001953,1.53
0945.png,64.08203,1.9
0946.png,46.041668,1.69
0947.png,88.48633,2.42
0948.png,57.74577,2.15
0949.png,47.203777,2.69
0950.png,55.144855,1.25
0951.png,49.749348,2.29
0952.png,52.184246,0.87
0953.png,47.42513,2.47
0954.png,72.32748,0.33
0955.png,68.149414,1.18
0956.png,82.37142,1.39
0957.png,33.36914,1.87
0958.png,22.633463,4.0
0959.png,74.62402,3.19
0960.png,61.259766,1.24
0961.png,92.387695,1.24
0962.png,67.9834,2.82
0963.png,23.93392,1.83
0964.png,24.072266,2.7
0965.png,84.944664,2.73
0966.png,74.26432,2.75
0967.png,92.7474,0.98
0968.png,86.0791,1.53
0969.png,61.09375,3.44
0970.png,81.015625,2.5
0971.png,62.72624,2.45
0972.png,78.02734,2.21
0973.png,65.382484,2.25
0974.png,42.942707,1.9
0975.png,6.917318,4.0
0976.png,26.064453,0.46
0977.png,64.1097,3.71
0978.png,39.733074,2.53
0979.png,35.97005,3.03
0980.png,47.784832,1.7
0981.png,50.80078,2.92
0982.png,48.64258,3.61
0983.png,56.80501,2.09
0984.png,63.113605,1.58
0985.png,35.831707,0.01
0986.png,49.583332,3.24
0987.png,63.47331,3.93
0988.png,47.203777,4.0
0989.png,84.2806,2.85
0990.png,58.49284,3.7
0991.png,81.34766,3.39
0992.png,23.15918,2.07
0993.png,54.397785,3.29
0994.png,46.871746,1.51
0995.png,53.92741,3.25
0996.png,47.12077,2.98
0997.png,26.866861,1.74
